	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
Sec31b	6	3	6	9.0000043007	4	3	10.999998	5
Sec61a1	7016.01092	6868.00533	8230.99911	7891.00497	7089.00696	6784.00514023482	9496.010069	8995.01385
Sec61a2	804.57474	757.32139	923.39837	903.17314	828.26298	826.27045	1108.58486	1049.47176
Sec61b	1269.9997	1192.00053	897.9797	863.99928	1046.0003	1106.99978	1651.95016	1587.00314
Sec61g	1879.0734	1825.96274	1439.6065	1414.0059	1834.90143	1765.07233	2514.7418	2261.32879
Sec62	3021.004	2868.003	3038.0009	2951.0016	2862.00149	2731.9973	3845.997	3662.00507
Sec63	2865.8151	2724.60831	3661.347	3583.593	2863.78303	2610.20429	3545.02168	3521.06148
Secisbp2	445.0001	408.99957	702.99969	665.0002	462.00032	433.99954	559.00001	488.99953
Secisbp2l	1421.9979	1371.0002	1279.9992	1210.99746	1294.99689	1233.9991	1762.0049	1766.9984
Sectm1a	2	0	1	0	0	0	0	0
Sectm1b	0	0	0	0	0	0	0	0
Seh1l	3284	3116	6052	5683	3882	3831	4375	4169
Sel1l	1836.99658006645	1720.00177011898	2951.99506	2610.99513007591	1877.00213	1720.99810013576	2298.00087023988	2239.99782020067
Sel1l2	0	0	0	0	0	0	0	1
Sel1l3	4.01183	5.01258	4.01254	7.012728	2.01023	1	9.3112	3.07886
Sele	0	0	0	1	0	0	0	0
Selenbp1	14.89814972	10.40434024	0	0	4.00000313	2.14221	18	18.999995
Selenbp2	1.10184	0.5957	3	0	0	2.85779	0	0
Selk	1191.92	1152	1098	1044	1172	1156.99591	1567.9975	1507.9
Sell	1	1	1.00877	1	0	0	2.0279	0
Selm	672.99947	634.9996	336.99996	347.00022	519.00006	480.00017	813.99987	756.00001
Selo	420.9297	396.405	628.9826	520.9155	483.0022	418.4344	579.0451	556.3883
Selp	6	5	3.999997	3	4	5.000003	5.000003	4.999997
Selplg	2.04606	5.43086	2.2495	10.2009	1.05154	4.1959	6.01119	5.17884
Selt	4610.93482	4312.2285	5277.31173	4961.72	4720.14	4484.3088	6028.49708	5693.37129
Sema3a	1526.11419	1388.21341	1262.44325	1205.00154	1459.0045	1427.08356	2112.34787	1969.33436
Sema3b	217.0000409	225.999967	118.9999797	135.9999841395	194.00005	196.99971	268.0000401237	267.00052655
Sema3c	1161.0011	1125.9980200198	761.00033	747.00014	964.00036	868.0005	1595.00446	1497.99501
Sema3d	60	49	11	19.00000775	33	41	69.00004	65
Sema3e	1231.495	1126	421	378.065	1021.191	1005.192	1590.25	1489.079
Sema3f	1197.00024	1170.99965	624.00011	557.00051	1063.00013388	970.001017	1501.00016	1466.99928
Sema3g	61	55	27	36	43	50	79	72
Sema4a	29	26.6377916	5	8.000000582599	20.999969	11.99998	39.420125	28.00000164465
Sema4b	437.77589	363.79	314.30076	313.45109	369.1041	332.68087	450.3161	465.11126
Sema4c	525.00026	520.99953	427.000340025938	385.99903	478.00000004552	447.000449	688.000199498	694.00028
Sema4d	220.04077	224.8694878	237.14347	212.90872773	214.10828	206.0002225669	302.8638523	284.9292671
Sema4f	17.00892	20.00019	16.0035	18.0003	19.00568	23.399128	26.00601	22.000416
Sema4g	64	61	37	33	55.000000174052	67.000004	82	80.99991
Sema5a	1648.01	1421.01	1264.04	1247	1327.06	1186.01	2063.02	1885.03
Sema5b	6.00001	2.000011	3.000002	2	3.000002	4.000012	3.000004	2
Sema6a	18.01014850264	30.999963	12.99999372	12.9999935325	18	11.999993	27.00001	20.999999
Sema6b	6	10	2	3	7	10	7	8
Sema6c	166.99999	161.999989	75.99996341353	66.9999864546281	103.99999517	106.99996	191.000027922	149.99987
Sema6d	25.00581	18.6169	10.006612672	5.00015	17.0015219451	20.00696895	37.00761262701	39.37532
Sema7a	110	108	118	112	132	106	155	173
Senp1	2238.16653	2215.96229	3123.61722	2972.91183	2440.19154	2233.25532	2792.2195	2715.47184
Senp2	1403	1296	2460	2263	1564	1536	1790	1692
Senp3	2043.00121	1903.00303	3317.99951	3199.97486	2342.99878	2205.00315	2807.00428	2525.98362
Senp5	924.99961	926.00037	2032.00173	1928.002	1096.99979	1046.0001	1230.9985	1212.00114
Senp6	1581.00025	1449.00033	3038.999876	2807.00606	1786.99869	1673.00023	1972.99991	1886.99823
Senp7	622.974657	542.39272	687.35469	620.03493	610.238112	560.71739	799.59072	730.569048345438
Senp8	262	244	270.9996	234.9996	244	221	307.0009	301.0002
Sep15	6603.00109	6202.99767	7098.00345	6691.99352	6720.99322	6447.00896	8812.00209	8329.98713
Sephs1	2290.99636	2200.0001	2573.9991	2470.9966	2458.0049	2236.00378	2879.9986	2748.9968
Sephs2	686	679	1152	1124	862	814	949	921
Sepn1	2404.00275	2283	2047	1908	2291	2050	2872.00419	2927
Sepp1	45.999972	47.999992	8	15	39.99998	28.99997102	72.00112	70
Sepsecs	335.999535421	339.9995384182	548	520.000355022	347.99955	356.9999	416.000000040259	381.9995
Sept1	23.0000194	19.999998	27	20.999996	29.0000000314737	20	30.00002	29.00004
Sept10	945	929	1307	1274	1014	991	1222	1176
Sept11	9882.16461	9226.22778	10282.1301	9935.12436627	9679.06995	9131.92643	12553.22929	11942.23829
Sept12	1	0	0	1	0	1	0	1
Sept14	0	0	0	0	0	0	0	0
Sept2	6665.0615	6453.21078	6543.22106	6140.9276714068	6569.1058	6086.2230429556	9019.08818	8629.05102
Sept3	67.10738	72.5687	374.0225	388.488	154.66528	126.90636	86.5311	91.8843
Sept4	11.0000021	12.99995856721	2.00482	4	10	5.999998	14.00002	11.99999
Sept5	2192.76	2147.54	1424.53	1361.13	2088.91	1911.36	2785.36	2567.59
Sept6	1278.000230288	1240	1024.00056	1005.99991	1155.9996	1034.0004	1677.99865	1607.99952
Sept7	5623.00000105592	5432.00000013413	6015.00000001523	5834.00000023157	5741	5461.00000056065	7522.00000016178	7063.00000323727
Sept8	2941.0052	2891.9983	3456.0053	3260.0032	3026.99652	2953.99763	3866.0005	3550.0029
Sept9	5850.9981	5482.00146	3220.00192	3028.00133	4794.9962	4663.00014	7448.0029	7025.99749
Sepw1	938	888	1283	1226	1080	1041	1248	1217
Serac1	152.0715624665	156.63465	288.21823	287.7694	199.551	177.808	188.14547	202.738
Serbp1	12232.28156	11722.7127	19158.18272	18045.381	13853.17919	13121.280582	15979.78764	14952.62153
Serf1	298.0000364978	282.00043	310.99982	311	295.99983	297.000309	366.00019	378.99997
Serf2	8720.95031	8425.63335	8444.54928	7834.82603	8691.62373	8033.1643	11283.4957	10665.41824
Sergef	69.99998	91.00003	126.99961	112.00008	90.00004	76.99999	117.99991	104.00002
Serhl	331.826396	287.61086	271.71933	229.50386	332.06162	253.6732	457.78148	333.153577
Serinc1	5216.338	4950.09613	5670.72742	5247.87028	5179.76265	4915.09615	6956.74426	6349.6856
Serinc2	113.99968	105	28.99997	42	81	88	153	117.000000039462
Serinc3	3639.001	3629.215	3703.492	3456.416	3522.001	3291	4802.981	4595.003
Serinc4	0	0	1.3691	2.18534	2.74397	0	3.7574	0
Serinc5	1313	1190	816	814	1181	1124	1709	1738
Serp1	3121.48	3014.33	5207.6	4973.33	3225.3	3176.91	4120	3874
Serp2	57	51	44	46	51	54	59	66
Serpina10	0	0	0	0	0	0	0	0
Serpina11	0	1	0	0	2.00000217329	0.99999984491	2.00000160809	3.00000385373
Serpina12	2	0	0	0	0	0	0	0
Serpina16	0	0	0	0	0	0	0	0
Serpina1a	0	0	0	0	0	0	0	0
Serpina1b	0	0	0	0	0	0	0	0
Serpina1c	0	0	0	0	0	0	0	0
Serpina1d	0	0	0	0	0	0	0	0
Serpina1e	0	0	0	0	0	0	0	0
Serpina1f	0	0	0	0	0	0	0	0
Serpina3a	1	0	0	0	0	0	0	0
Serpina3b	0	0	0	0	0	0	0	0
Serpina3c	0	3.0052	0	0	0	0	0	0
Serpina3d-ps	0	0	1	0	9.97852e-05	1	0	0
Serpina3e-ps	18.9313	13.6092	6.44179	3.14818	8.54235	10.5456	27.68	20.7965
Serpina3f	25.6808	27.0105	8.13087	10.4266	24.6608	15.7505	31.1127	31.3597
Serpina3g	388.47109	358.5735	127.1638	110.55119	342.39138	322.8544	565.72969	565.8848
Serpina3h	115.41327	108.0116	44.6856	44.7099	89.0058	101.1541	160.982	171.2081
Serpina3i	173.4544	143.71499	58.5137	65.1641	130.3996	130.69572	218.39749	184.01317
Serpina3j	0	0	0	0	1	0	0	1
Serpina3k	0	0	0	0	0	0	0	1.2669
Serpina3l-ps	0	0	0	0	0.9999	0	0	0
Serpina3m	1.999999	2	1.006395	0	3.000003	0	1	2.733096
Serpina3n	21.0484	29.0745	8.05811	9	33	33	60.0985	43.7383
Serpina4-ps1	1	0	0	0	0	1	1	0
Serpina5	0	0	1	0	0	0	0	0
Serpina6	0	0	0	0	0	0	0	0
Serpina7	0	0	0	0	0	0	0	0
Serpina9	7.0073	2.01056	0	1.0005	5.01299	0	6.00288	3.00665
Serpinb1-ps1	0	0	0	0	0	0	0	0
Serpinb10	0	0	0	0	0	0	0	0
Serpinb11	0	0	0	0	0	0	0	0
Serpinb12	0	0	0	0	0	0	0	0
Serpinb13	1	0	2	1	0	0	0	0
Serpinb1a	104	87	12	11	49	57	126	141
Serpinb1b	6	2	3	4	5	4	5	3
Serpinb1c	1	0	0	1	0	0	0	0
Serpinb2	0	2.0000040105828	2	4.0000000350418	2.0000040235898	2.000004166295	0	3.0000000293539
Serpinb3a	0	0	0	0	0	0	0	0
Serpinb3b	0	0	0	0	0	0	0	0
Serpinb3c	0	0	0	0	0	0	0	0
Serpinb3d	0	0	0	0	0	0	0	0
Serpinb5	0	0	0	0	0	0	1	0
Serpinb6a	4334.04678	4110.81397	4556.97966	4363.27876	4353.01079	4183.19308	5656.72825	5415.51273
Serpinb6b	7.0015	7	1	2	6	2	10	6
Serpinb6c	0	0	1.0002419	0	0	1	0	1.000195
Serpinb6d	0	0	0	0	0	0	0	0
Serpinb6e	0	0	0	0	0	0	0	0
Serpinb7	0	0	0	0	0	0	0	0
Serpinb8	190.00207	202.88291432	99.54206	100.95031	187.00455	202.00281	325.97048	288.0062
Serpinb9	557	533	278	267	507	473.9996999	880	786
Serpinb9b	89	75	87	86	89	87	119	113
Serpinb9c	1	4	8.9497	8.9390275	4	2	0	1
Serpinb9d	0	0	0	0	1	0	0	0
Serpinb9e	3	0	7	3	1	0	4	2
Serpinb9f	0	0	0	0	0	0	0	2
Serpinb9g	0	0	4	3	3.30716	1.24194	0	0
Serpinc1	18.37236	16.2113	28.56507	13.79275	18.06496	18.78005	22.260422	1.0622
Serpind1	1	0	0	0	1	1	0	1
Serpine1	925.00003	861.99949	1726.00534	1657.0045	1208.9996	1175	1317.00059	1249.99939
Serpine2	709.29663	681.4447	389.8815	330.57404	564.28214	553.7499	907.97297	833.4645
Serpine3	4	0	2	3	4	1	3	2
Serpinf1	6572.99834	6155.99966	8877.98927	8507.00551	7026.0048	6700.99867	8987.99841	8528.00435
Serpinf2	1.00000022	2.00000257	6.000002101	10.00000099	3.99999849	3.00000256	2.000001548	1.999999639
Serping1	15	13	0	5	9	4.000001	18	12
Serpinh1	17906.9993462	16965.005213	20111.9748	19303.0011	18577.99518	18109.00163	23431.0301	22118.985
Serpini1	107.24304	84.18591	68.10218	66.21877	81.16551	97.183	118.38784	120.49236
Serpini2	0	0	0	0	0	0	0	0
Sertad1	378	372.99953	462	444	428	434	576	512
Sertad2	1868.003	1770.9948	2146.5593	2213.997	1999.0039	1848.996	2486.9961	2332.0018
Sertad3	171	133	129	107	130	124	185	238
Sertad4	1440.0000006296	1347.0036	929	938.9998	1297	1281.0002	1815.9989	1706.9987
Sertm1	0	0	0	0	0	0	0	0
Sesn1	762	747	437	374.9996	630	542	912	938
Sesn2	662	584	2175	2114	1008	995	891	879
Sesn3	2139.00014	2033.99639	884.0003	902.05956	1554.00102	1411.37596	2715.00236	2585.45259
Sestd1	1014.0002	974.93204	1162.00052	1165	1055	966	1207	1110.99957
Set	8765.95803	8088.98833104428	16734.4017	15773.9375	10376.1489	9986.0322	11066.51939	10508.622
Setbp1	734	696	384	344	609	612	895	877
Setd1a	1490.573	1428.37458	2052.67195	1926.56119	1508.382	1383.91199	1769.34545	1666.59296
Setd1b	1261.74105	1175.19293	1456.837637	1429.22865	1134.02984	1065.28449	1485.603852	1409.12519
Setd2	2825.14239	2645.96958	3657.35429	3491.0321	2756.15177	2608.00291012168	3563.00308	3376.137641171
Setd3	1583.00428	1535.734169	1957.70135	1841.44518	1628.71295	1495.73835	1975.41039	1887.44504
Setd4	110.8993161	128.0858347868	170.504330223285	151.91104	130.42556	103.2055368	160.5025131	151.9162981015
Setd5	3820.00076	3730.998268	4108.00412	4102.0071	3597.00108	3483.00342	4870.15754	4625.10051
Setd6	198.99999	190.00019	604.0008	546.99946	241.00025	267.9999	265.00017	247.99952
Setd7	3573.15018	3381.79261	3550.77212	3390.07174	3606.04191	3287.25	4671.24525	4431.80368
Setdb1	1891.00237	1876.997	2595.0040932364	2528.000704765	2053.00056	1958.00031	2619	2562.00384
Setdb2	224.00016	234.000276	477.00026	427.99972	271.99971	276.99997	307.99976	310.0003
Setmar	93.99998	81	96.00001	83	82	78	95	93
Setx	2070.00289	1969.00479	2788.0027	2765.9973	2037.00012	2004.0017	2768.99974	2563.00233
Sez6	1	1	0	0	1.00767	1	0	2
Sez6l	0	0	2	1	0	1	0	0
Sez6l2	0	1	9	2	2	2	3	2
Sf1	7107.01502003148	6757.99916	10046.006528	9415.00014	7387.99595	6830.0076	9003.99640465954	8438.99732
Sf3a1	3882.00365	3805.0026	4697.99549	4353.00117	3866.99666	3533.00472	4743.99605	4521.00306
Sf3a2	2127.75024	2046.60942	3054.15214	3022.0652	2256.80247	2101.6864	2551.5993	2487.1293
Sf3a3	2730.99621	2592.9985	3509.00329	3349.00492	2909.99606	2857.99541	3578.9958	3443.998
Sf3b1	6918.03128	6493.99733	7460.0043	7299.62992	7100.97572	6806.22205	9427.20216	8846.900552
Sf3b2	9453	9218	11668	10984	9561	9091	11878	11514
Sf3b3	7709	7607	11504	10964	8152	7700	10099	9678
Sf3b4	3256.59221	3215.75	4699	4355.06	3475.41	3366.31289	3952.48	3931
Sf3b5	1339.46	1312.51	1328	1187	1358.99	1233.51	1684.49	1625.99
Sf3b6	877	894	1046	1058	939	959	1167	1153
Sfi1	237.035710475	218.6157	296.462011	296.18282267235	249.891520055087	255.352898	316.5164386086	290.076970401247
Sfmbt1	561.00009	543.0001	927.9994	844.00029	598.00029	532.000664632	735	693.9991
Sfmbt2	52.99997	45.9999600258098	95.000012	84.92435	60.0000426	59.00001	64.00004	53.0000065
Sfn	5	12	11	12	8	7	22	11
Sfpq	7435.94252	7002.806	5688.21527	5448.32329	7049.91925	6670.41773	9255.53182	8707.32212
Sfr1	3969	3834	3359	3229	3815	3564	5085	4713
Sfrp1	273.875	298.004	60.0014	46.0004	177.004	173.002	449.005	391.007
Sfrp2	572	510.00009	63.00003	69.999975	336	330.9997	753.00023	695
Sfrp4	2	2	0	3	2	2	5	6
Sfrp5	0	0	1	0	0	0	0	0
Sfswap	2116.00282808213	1962.0039403	2546.00154	2425.998634	2157.00304	1986.99794	2649.0036502192	2485.99634
Sft2d1	409.054737441	381.00542	509.7611	490.01115	437.006485	450.005970513	519.00581	574.089
Sft2d2	1169.99501	1063.00028	1617.00335	1491.00131	1132	1058.99971	1454	1372.0007
Sft2d3	88	79	81	72	91	85	81	101
Sfta2	0	2.00815	1.03581	0	1.00892	1.31266	0	0
Sftpa1	0	0	0	0	0	0	0	0
Sftpb	0	2	0	1	1	1	0	2
Sftpc	0	0	0	0	1	0	0	0
Sftpd	0	0	0	0	0	0	0	0
Sfxn1	2020	2015	2453	2198	2156	2006	2555	2542
Sfxn2	241.73	272.646	451.159	445.954	281.336	250.58	365.586	367.941
Sfxn3	2407.8998	2267.8649	1765.4668	1623.5271	2324.4125	2107.2159	3068.4158	2879.4257
Sfxn4	91.1402	94.1768	56.0471	67.06843	80.5663	76.739	142.031	117.2911
Sfxn5	310.999992	321.016923	296	247.00209	303.999536	291.00458	413.0113303995	392.99985320413
Sgca	3	2.999998	0	0	1.999998	1	3	3
Sgcb	542	540	517	475	507	473	680	682
Sgcd	115	92	117.00006	122.00016	90	110	137.00046	144
Sgce	684.99969	647.000230027498	583.99958	535.99993	650.00094	652.000275	888.000238431	805.99955324
Sgcg	0	0	2	0	0	0	0	0
Sgcz	0	0	0	0	0	0	0	0
Sgf29	216.0001	184.00039	505.99991	478.0002213	256.00037	208.99952	236.00015443357	224.99957198
Sgip1	213.529	221.925	215.49	226.021	230.32941	175.148	276.84928	252.640829
Sgk1	1241.997653	1232.00451	1113.9998	1076.00015	1385.00259	1395.00187	1907.99634	1764.99915
Sgk2	1	1	0	2.000001	3	4	3.000003	2.000001
Sgk3	26.01876	18.999949288	20.002182437	19.001450771	17.0387031	25.04926164	25.28485	32.026539
Sgms1	455.28246	450.06564	558.20027	472.0026	444.34628	454.462833	623.3403467	600.17054
Sgms2	473.4562	441.904	599.0204	634.495	442.37862	471.0144	618.10369	649.79241
Sgol1	1411.99968	1248.9971	1769.9962	1582.0012	1527.9957	1375.0027	1608.0002	1712.9916
Sgol2a	1394.92176	1353.99535	1057.99633	986.77943	1275.41	1200.61794	1835.85106	1779.60758
Sgol2b	0	0	0	1.00134	0	0	0	0
Sgpl1	3201.73272	3235.00584	4882.66896	4705.35295	3573.36222	3314.82831	4442.52926	4094.77245
Sgpp1	1249	1236	1690	1577	1375	1303	1569	1562
Sgpp2	4.24252	7.16866	3.58852	3.11654	3.12213	3.12449	2.12538	3.38341
Sgsh	320.5182	332.28477	429.5166174553	424.6155	357.590157	355.348200641784	397.81363161366	308.46778855
Sgsm1	316.0003	296.0003	452.06431	431.00044	345.9996	319.0004	439.06171	422.0151
Sgsm2	528.00011	554.00022	587	518.99937	587	563.00017	756.99973	673.99966
Sgsm3	759.88623	734.00018228	1057.0004	1032.053357	809.99984	778.566713	949.02007	928.00481
Sgta	3399	3218	4128	3847	3435	3321	4311	4245
Sgtb	322.99963	291	386	404.99961	312	303	397	344.99994
Sh2b1	866.999900019358	787.99976636	1260.00031	1209.999588979	848.00072	813.001	1025.0003257188	974.00034
Sh2b2	97.00003	89.99995	258.00182	235.00062	105	121.0000093	110.0074441	110.00005
Sh2b3	1186	1023.999	1214.001	1160	1096.999	1007.9996	1319	1369
Sh2d1a	0	0	0	0	1	0.747624	0	0
Sh2d1b1	61.9003	52.1993	49.7287	48.9056	72.4648	65.3649	68.3645	98.8094
Sh2d1b2	3.09974	5.80071	4.27132	6.09441	8.53519	7.63506	4.63551	6.19062
Sh2d2a	0	0	0	0	0	0	2.28347	0
Sh2d3c	152	136	95.0000421	89.000025	106	126.0004480999	200.0002	179.0003
Sh2d4a	9	7	16	11	14.8786	12.6395	4	13
Sh2d4b	2	0	3	1	2	1	1	4
Sh2d5	66.0000111	49.0000200309809	113.999784	107.999821	54.0000313	69.00002	69.000022	80.999951
Sh2d6	1	0	11.99999	10.9999963815	1	0	1	0
Sh2d7	1.00439	0	0	0	0	0	1.0016	0
Sh3bgr	0	1	5.0021	0	1	1	3.47911	0
Sh3bgrl	2740.0183	2671.2866	2233.71	2141.72532	2534.9286	2420.01345	3582.8652	3494.1042
Sh3bgrl2	179.00025	190.00035	350.99986	356.00034	227.000171	194.99958	285.99961	247.00009
Sh3bgrl3	1598	1482	1197.9974	1098.0036	1359.00491	1353.99833	2057.00388	1905.9953
Sh3bp1	2058.0041	1953.0021	2761.9954	2708.999	2159.99822	2040.001242877	2551.0025	2391.0011
Sh3bp2	259.9996	255.0000873	463.999516775	420.9993	276.0002249	293.9998	369.9999	322.0004
Sh3bp4	1425.00258	1236	1164.99664	1211	1277	1287.99973	1680	1600
Sh3bp5	497.00029	505.00004674	501.9998	487.9999	554.99988	497.00027	663.9998	620.0004
Sh3bp5l	976.00441038	902.37	1051.348335	963.99988608083	968.999616593	936.29524	1284.0543800438	1187.99794
Sh3d19	1345.9967518183	1317.99883	1476.29380002183	1416.10260458	1329.99885	1276.001797004	1758.09185	1753.99965
Sh3d21	35	42.9999	18.99998	16.00000544	26.00002	29.99995	38.99998	49.00001
Sh3d2c-ps1	0	0	0	0	0	0	0	0
Sh3gl1	2454	2340	2557	2342	2344	2196	2931	2991
Sh3gl2	3.57756	6.56723	4.08102	3.04844	5.10079	4.08504	5.20681	4.386689
Sh3gl3	10	8	16	12.999999	11.99998	19	20.999959	13.999993255005
Sh3glb1	3590.9986	3427.0043	4212.0026	4132.9994	3744.0087	3572.8136	4836.0088	4605.9927
Sh3glb2	1256.99985	1224.99646	1132.00045	1094.99976	1222.0000123	1184.99972	1637.00505	1532.99724
Sh3kbp1	2416.47286	2335.071	1949.81579	1801.0384	2301.05167	2213.80283	3210.35762	3064.4178
Sh3pxd2a	7235.033	6797.041	5856.118	5542.022	6441.052	6034.032	8838.047	8359.136
Sh3pxd2b	2848.73345	2681.30492	2376.82057	2210	2404.59832	2331.64012	3651	3431.6
Sh3rf1	428.07195	411.01112	558.00756	519	423.08252	409.00801	587.3157	530.02783
Sh3rf2	10	10	1	2.999996	11.000031	10	13	16
Sh3rf3	141.99965527	126.99983	204.000057	205.99991	200.99983	169.66441	190.00017	157.0002704
Sh3tc1	39.000047	39	14	8.9999952	34.00000368	35.000009	56.0000461	43.999997
Sh3tc2	3	1	16	14	6	4	4	3
Sh3yl1	42	54.99997	62.99998	53.99995	40.00006	35	53	59
Shank1	3.0051	1.0005	1.05216	2.15202	1	1	0	2.00413
Shank2	44.00028	39.000759861	52.2224	47.000159	37.000762	45.0003	57.1663	50.0004
Shank3	4.999999	5.000001	11.000001	11	7	5	11.000001	8
Sharpin	676.99982	649.00000086727	848.00021	789.00032	749.99956	653.0004	870.999580676219	863.9998870276
Shb	484.99999	481.0004	649.0007	581.99974	611.00005	478.99960774722	687.0005	618.00034
Shbg	1	0	0	0	0	0	0	1
Shc1	3914.00218	3495.0011	3018.0019	2946.000901914	3403.9977	3332.0029	4909.0081	4630.9979
Shc2	740.0001	637.9993	2019.99801	1986.5614	997.31746	949.3004	902	817.1843
Shc3	1	0	1	1	2	1	2	3
Shc4	134.55599	153.87557	154.5312	156.88744	141.26678	137.3582	189.77179	166.81853
Shcbp1	1689.5337	1483.28405	1323.40341	1200.42513	1557.11345	1439.59995	2036.04583	1935.83518
Shcbp1l	1	6	2	5	0	0	4	5
Shd	2	2	0	2	0	1	0	2
She	4	12.55722	8.29256	10.00685	7.02482	5.00389	6.33811	9.18103
Shf	239.00011	263.000047122	275.99995	243.00004	242.000125516	237.999922265	300.00009	269.00008897
Shfm1	2312.00323	2174	2169.00115	1995.00187	2326.00027	2236.00083	2798	2776.00134
Shh	0	0	0	0	0	0	0	1
Shisa2	2	2	2	3	2	0	0	2
Shisa3	0	0	1.00031	0	0	2.00001	0	4.00295
Shisa4	580.9993	536	449.9998	428.0002	613.0005	530.0003	690.9993	697.9997
Shisa5	2254.00479	2079.9986579	2421.0025	2203.00215	2132.99648	2119.00345	4255.99889	4064.00225
Shisa6	1.00001	0	0	0	0	0	0	0
Shisa7	0	1	0	0	1	2	0	2
Shisa8	3	8	7	8	2	4	4	6
Shisa9	0	0	0	0	0	0	0	0
Shkbp1	330.0004	325.34238	397.521	334.88428	339.00018	355.9998382	423.00057	402.77528
Shmt1	984.99939	1020.99979	3325.02565	3109.9992	1461.00364	1494.01502	1345.00429	1296.17765727935
Shmt2	4765	4489	13469	12908	7054	6776	6293	5902
Shoc2	1509.998	1416.003	1770.004	1682.998	1581	1462	1986.004	1882.004
Shox2	1042.143305	916.51259	850.099	863.298	882.71432	875.447	1300.33326	1208.6878
Shpk	51	37	55	65	52	51	43	43
Shprh	929.15573	839.16252	1171.23562	1078.38093	931.54026	851.24911	1254.651561	1142.20807
Shq1	231.032344	214.0038	391.0692	388.154	261.0039	231.5486	288.0049	273.006
Shroom1	141.0329	155.3237	137.4153	116.201	174.0645	137.4947	247.1584	179.8944
Shroom2	264.9999	246.9996	327.99999	326.00003	264	263.000218	370.9998	318.00001
Shroom3	155.046186653	145.01971	92.0005400388946	97.01999	122.02552941	125.3263157902	165.03971684231	144.07379
Shroom4	444.0004	388.05556	419.0632	378.0002	414.0141	339.02009	549.02182	554.071
Shtn1	17	13.000002	23	13	19	10	17	17
Siae	598	505	321	282	470	439	677	741
Siah1a	340.556	317.158	697.776	614.932	437.181	365.382	484.054	463.112
Siah1b	335.44388	305.8424	572.22410256711	618.06791924	341.8196	344.6168	418.9469	385.888526
Siah2	321.99974	337	973	880.99991	437	412.99968	374.99954	381.99954
Siah3	1	0	0	0	0	0	0	0
Sidt1	0	0	0	1	0	0	0	0
Sidt2	1610.0003	1462.00046	1679.00002	1616.99928	1419.000306	1437.99981	1896.99985	1808.00045
Sigirr	1	3	3	4.000005	1	1.999999	5	3
Siglec1	24.5775	29.4679	23.74643	25.2313	30.1779	21.4865	25.3648	20.398
Siglec15	1	0	0	0	0	0	0	0
Siglece	0	0	0	2	0	0	1	1.0155
Siglecf	2	2	0	2	1	5	1	1
Siglecg	67.023688	65.08066	99.04786	115.03393	78.055474	73.00406	90.01955	106.060429
Siglech	0	2	1	1.00019	2	0	1	4
Sigmar1	1260.00021	1171.04654	1599.00284	1481.19354	1360.19732	1245.82685	1575.05202	1485.15691
Sik1	524	478	448.497	397	443	399	657	584
Sik2	670.62764213	692.11278	674.7587	625.00099	574.8186515	556.28754	833.69185	808.17439
Sik3	2225.99931	2144.998251	2109.997194108	2022.00143	2097.99709	1930.997	2864.0038	2710.997
Sike1	581.14189	493.05485	912.6074	866.97148	623.18088	653.20297	754.0129	745.43533
Sil1	478	478	829	724	529	540	705	595
Sim1	0	1.01401	1.00867	2.00903	0	1.0007	2.00001	1.00125
Sim2	97	88	110	103	95	88	117	118
Simc1	555.99969	535.999634	925.0003	933.99956	585.99984	548.9999	708.99965	680.00050216193
Sin3a	2138.9972455531	2092.997032	2317.99940079	2243.999853714	2188.00010058346	2088.00001	2764.99977218	2558.00061300584
Sin3b	2686.001	2473.001	2404.002	2278	2571.003	2337.001	3283.999	3161.004
Sipa1	1653.9999	1633.0036	1198.9992	1112.0001	1431.0001	1455.9998	1979.005	1852.0049
Sipa1l1	2042	1959.995	2220.002	2154.004	2101.998	1944.003	2642	2535
Sipa1l2	1177	1165	729	727	1139	1005	1548	1444
Sipa1l3	904.3183247	905.618050040327	1167.27247	1047.87546606603	930.50109744	869.33562	1158.1746201022	1063.81475
Sirpa	519.99990296981	441.99987	450.999594	426.9998734524	470.9999414798	452.0002	631.00039	599.99917
Sirpb1a	2	0	1	0	0	0	0	1
Sirpb1b	1.00004	1.00091	2.00004	2.00927	4.00015	2.00788	1.00002	1.00003
Sirpb1c	0	0	0	0	0	0	0	0
Sirt1	783.90676	737.0729	1216.56528	1166.36913	793.4266484879	755.774951888	978.7661	922.077113344
Sirt2	913.00014	868.00967	1225.00045	1205.999441	896.99979	884.09571	1148.00962019694	1096.07823612
Sirt3	107.611976	98.04158	165.40042	178.88428	126.015584	131.851226	124.88687	130.70647
Sirt4	151.9999	165	217	215.0003	166.0003	140.00001	202.99998	200.99973
Sirt5	73	82	93	84	77	84	96	96
Sirt6	405.3246	393.99984	380.0008	374.00024	357.00041	341.00045	507.00021	447.99937
Sirt7	332.999850347847	319.0004	398.9998789	321.99976	337.99962	334.99963	432.999760024387	367.00017
Sis	0	0	0	1.00004	0	0	0	2.00033
